tanggal,nama_kecamatan,positif
2020-09-22,CIRACAS,739
2020-09-23,CIRACAS,766
2020-09-24,CIRACAS,771
2020-09-25,CIRACAS,795
2020-09-26,CIRACAS,822
2020-09-27,CIRACAS,848
2020-09-28,CIRACAS,905
2020-09-29,CIRACAS,919
2020-09-30,CIRACAS,933
2020-10-01,CIRACAS,959
2020-10-02,CIRACAS,970
2020-10-03,CIRACAS,994
2020-10-04,CIRACAS,1008
2020-10-05,CIRACAS,1030
2020-10-06,CIRACAS,1047
2020-10-07,CIRACAS,1082
2020-10-08,CIRACAS,1094
2020-10-09,CIRACAS,1116
2020-10-10,CIRACAS,1134
2020-10-11,CIRACAS,1155
2020-10-12,CIRACAS,1176
2020-10-13,CIRACAS,1195
2020-10-14,CIRACAS,1214
2020-10-15,CIRACAS,1233
2020-10-16,CIRACAS,1255
2020-10-17,CIRACAS,1273
2020-10-18,CIRACAS,1295
2020-10-19,CIRACAS,1310
2020-10-20,CIRACAS,1334
2020-10-21,CIRACAS,1348
2020-10-22,CIRACAS,1373
2020-10-23,CIRACAS,1392
2020-10-24,CIRACAS,1397
2020-10-25,CIRACAS,1425
2020-10-26,CIRACAS,1431
2020-10-27,CIRACAS,1440
2020-10-28,CIRACAS,1455
2020-10-29,CIRACAS,1458
2020-10-30,CIRACAS,1465
2020-10-31,CIRACAS,1489
2020-11-01,CIRACAS,1495
2020-11-02,CIRACAS,1507
2020-11-03,CIRACAS,1523
2020-11-04,CIRACAS,1561
2020-11-05,CIRACAS,1575
2020-11-06,CIRACAS,1588
2020-11-07,CIRACAS,1611
2020-11-08,CIRACAS,1623
2020-11-09,CIRACAS,1642
2020-11-10,CIRACAS,1655
2020-11-11,CIRACAS,1677
2020-11-12,CIRACAS,1691
2020-11-13,CIRACAS,1719
2020-11-14,CIRACAS,1737
2020-11-15,CIRACAS,1770
2020-11-16,CIRACAS,1792
2020-11-17,CIRACAS,1799
2020-11-18,CIRACAS,1829
2020-11-19,CIRACAS,1848
2020-11-20,CIRACAS,1893
2020-11-21,CIRACAS,1926
2020-11-22,CIRACAS,1939
2020-11-23,CIRACAS,1948
2020-11-24,CIRACAS,1969
2020-11-25,CIRACAS,2002
2020-11-26,CIRACAS,2025
2020-11-27,CIRACAS,2055
2020-11-28,CIRACAS,2099
2020-11-29,CIRACAS,2135
2020-11-30,CIRACAS,2147
2020-03-25,DUREN SAWIT,11
2020-03-26,DUREN SAWIT,13
2020-03-27,DUREN SAWIT,14
2020-03-28,DUREN SAWIT,16
2020-03-29,DUREN SAWIT,17
2020-03-30,DUREN SAWIT,19
2020-03-31,DUREN SAWIT,26
2020-04-01,DUREN SAWIT,29
2020-04-02,DUREN SAWIT,30
2020-04-03,DUREN SAWIT,34
2020-04-04,DUREN SAWIT,35
2020-04-05,DUREN SAWIT,46
2020-04-06,DUREN SAWIT,48
2020-04-07,DUREN SAWIT,48
2020-04-08,DUREN SAWIT,52
2020-04-09,DUREN SAWIT,61
2020-04-10,DUREN SAWIT,61
2020-04-11,DUREN SAWIT,65
2020-04-12,DUREN SAWIT,67
2020-04-13,DUREN SAWIT,68
2020-04-14,DUREN SAWIT,71
2020-04-15,DUREN SAWIT,74
2020-04-16,DUREN SAWIT,80
2020-04-17,DUREN SAWIT,82
2020-04-18,DUREN SAWIT,87
2020-04-19,DUREN SAWIT,91
2020-04-20,DUREN SAWIT,95
2020-04-21,DUREN SAWIT,100
2020-04-22,DUREN SAWIT,112
2020-04-23,DUREN SAWIT,117
2020-04-24,DUREN SAWIT,119
2020-04-25,DUREN SAWIT,120
2020-04-26,DUREN SAWIT,125
2020-04-27,DUREN SAWIT,126
2020-04-28,DUREN SAWIT,129
2020-04-29,DUREN SAWIT,133
2020-04-30,DUREN SAWIT,135
2020-05-01,DUREN SAWIT,141
2020-05-02,DUREN SAWIT,142
2020-05-03,DUREN SAWIT,148
2020-05-04,DUREN SAWIT,153
2020-05-05,DUREN SAWIT,153
2020-05-06,DUREN SAWIT,154
2020-05-07,DUREN SAWIT,153
2020-05-08,DUREN SAWIT,153
2020-05-09,DUREN SAWIT,158
2020-05-10,DUREN SAWIT,162
2020-05-11,DUREN SAWIT,163
2020-05-12,DUREN SAWIT,172
2020-05-13,DUREN SAWIT,175
2020-05-14,DUREN SAWIT,186
2020-05-15,DUREN SAWIT,188
2020-05-16,DUREN SAWIT,195
2020-05-17,DUREN SAWIT,197
2020-05-18,DUREN SAWIT,223
2020-05-19,DUREN SAWIT,224
2020-05-20,DUREN SAWIT,231
2020-05-21,DUREN SAWIT,234
2020-05-22,DUREN SAWIT,236
2020-05-23,DUREN SAWIT,241
2020-05-24,DUREN SAWIT,242
