id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172041004,DKI JAKARTA,JAKARTA UTARA,CILINCING,KALI BARU,125,0,125,0,38,2,32,4,29,4,9,4,12,
3173011004,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,93,0,93,0,15,2,13,0,16,0,10,0,6,
3174071003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,100,1,99,0,9,1,8,0,7,2,2,0,3,
3174071001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,17,0,17,0,0,0,0,0,6,1,5,0,0,
3175101004,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,MUNJUL,95,0,95,0,12,0,12,0,9,0,5,0,4,
3174081003,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,RAWA JATI,90,1,89,0,18,2,16,0,8,2,5,0,1,
3172031005,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU SELATAN,177,0,177,0,45,0,44,1,21,5,12,0,4,
3175071005,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,106,3,103,0,20,1,18,1,29,8,8,1,12,
3171031007,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,139,1,138,0,16,0,15,1,16,4,9,0,3,
3173051002,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,254,1,253,0,35,3,30,2,28,5,15,2,6,
3175041002,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,460,6,454,0,72,8,63,1,81,19,13,7,42,
3174041004,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,133,1,132,0,99,10,88,1,12,4,3,2,3,
3175101005,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,SETU,86,0,86,0,20,1,19,0,7,0,4,0,3,
3174021007,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,GUNTUR,47,0,47,0,6,0,6,0,4,0,4,0,0,
3175101003,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,113,0,113,0,23,0,21,2,12,0,6,1,5,
3174071007,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PULO,32,0,32,0,7,0,6,1,5,0,4,0,1,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,57,0,57,0,3,1,2,0,8,2,4,0,2,
3172011002,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,29,1,28,0,5,0,5,0,16,4,10,1,1,
3174091002,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,225,0,225,0,38,8,30,0,27,4,16,3,4,
3175011005,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,71,1,70,0,18,1,15,2,12,4,3,1,4,
3175031005,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,74,0,74,0,28,1,25,2,10,1,7,1,1,
3173031007,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,30,1,29,0,5,0,5,0,2,0,1,1,0,
3174071004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,48,0,48,0,4,0,4,0,6,2,3,0,1,
3172011001,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,1462,0,1460,2,66,7,55,4,140,47,41,5,47,
3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,131,1,130,0,48,3,43,2,15,1,10,1,3,
3172031003,DKI JAKARTA,JAKARTA UTARA,KOJA,LAGOA,237,2,235,0,66,3,63,0,58,8,32,3,15,
