id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,otg,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3174081004,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,117,0,28,89,14,2,12,7,0,6,0,1,
3174041007,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,81,4,36,41,19,5,14,19,3,9,0,7,
3174041002,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,83,1,37,45,28,3,25,13,1,7,2,3,
3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,53,1,24,28,29,3,26,12,1,7,2,2,
3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,49,0,19,30,11,0,11,20,7,8,2,3,
3171021001,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,57,3,17,37,23,1,22,21,8,8,0,5,
3171011003,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,54,0,14,40,14,3,11,18,3,11,2,2,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,18,0,5,13,12,0,12,8,1,6,1,0,
3171061004,DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,16,1,5,10,6,0,6,12,3,6,2,1,
3175051005,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,PEKAYON,47,0,25,22,18,1,17,6,0,3,1,2,
3171021004,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,57,0,38,19,28,1,27,18,5,8,5,0,
3172041002,DKI JAKARTA,JAKARTA UTARA,CILINCING,SUKAPURA,107,3,28,76,17,2,15,24,2,5,1,16,
3174021004,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET,44,0,13,31,8,0,8,15,3,6,0,6,
3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,107,7,33,67,27,3,24,17,3,10,3,1,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,47,0,11,36,12,0,12,12,1,5,0,6,
3174011004,DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,63,0,25,38,22,1,21,24,7,4,0,13,
3173071002,DKI JAKARTA,JAKARTA BARAT,PALMERAH,SLIPI,101,5,73,23,33,0,33,19,4,8,1,6,
3174091004,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,105,4,51,50,19,2,17,16,3,5,0,8,
3173071005,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KEMANGGISAN,76,3,35,38,22,2,20,23,5,12,2,4,
3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,38,1,26,11,12,2,10,15,4,8,0,3,
