id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan rs,isolasi di rumah,suspek meninggal,selesai isolasi,probable,perawatan rs,probable meninggal,selesai isolasi,pelaku perjalanan,isolasi di rumah,selesai isolasi,kontak erat,isolasi di rumah,selesai isolasi,discarded,meninggal,selesai isolasi,positif,dirawat,sembuh,meninggal,self isolation,keterangan
3172011002,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,14,0,0,0,14,0,0,0,0,4,0,4,42,14,28,0,0,0,17,1,15,1,0,
3171071007,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,69,6,5,2,56,0,0,0,0,2,1,1,99,1,98,0,0,0,19,0,15,1,3,
3175031001,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,39,4,0,4,31,0,0,0,0,3,0,3,66,8,58,4,0,4,69,3,41,1,24,
3171081002,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,105,4,1,0,100,1,0,0,1,0,0,0,272,20,252,61,0,61,90,3,57,8,22,
3175041002,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,203,9,6,1,187,0,0,0,0,7,0,7,460,59,401,48,0,48,102,2,75,8,17,
3173011005,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,153,6,6,16,125,0,0,0,0,4,1,3,401,73,328,9,0,9,52,3,32,6,11,
3172011003,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,53,4,0,0,49,0,0,0,0,7,0,7,118,29,89,16,0,16,29,5,16,3,5,
3171021002,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,219,19,3,4,193,1,0,1,0,3,1,2,406,30,376,8,0,8,54,2,41,5,6,
3174021004,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET,52,1,0,0,51,0,0,0,0,8,0,8,137,7,130,4,0,4,21,1,20,0,0,
3174021003,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,79,2,2,1,74,0,0,0,0,20,4,16,189,60,129,4,0,4,23,1,14,2,6,
